city,lat,lng,population,density
Johnson City,36.3406,-82.3806,131902,594.9
Carrollton,32.989,-96.8999,131388,1446.4
Midland,32.0243,-102.1147,130765,722.2
Yakima,46.5923,-120.5496,130440,1302.9
Bellingham,48.7548,-122.469,129601,1246.1
Yuba City,39.1357,-121.6383,129536,1718.2
South Lyon,42.4614,-83.6526,128071,1219.6
Santa Clara,37.3646,-121.968,127922,2677.1
St. George,37.0758,-113.5752,127890,429.0
Fort Smith,35.3495,-94.3695,127699,529.7
Simi Valley,34.2663,-118.749,127158,1168.8
Dover,39.161,-75.5202,125931,617.8
Norman,35.2335,-97.3471,125745,268.2
Abilene,32.4543,-99.7384,125474,451.3
Billings,45.7891,-108.5526,124973,945.0
Ponce,18.0127,-66.6212,124719,1497.1
Lehigh Acres,26.612,-81.6388,123751,518.7
St. Cloud,45.534,-94.1718,123569,660.1
Arecibo,18.4491,-66.7387,123499,970.8
Kenosha,42.5865,-87.8773,123061,1359.8
Greenville,35.5943,-77.376,122921,967.3
Arvada,39.832,-105.151,122903,1193.0
Pearland,29.5581,-95.3218,122609,998.0
Independence,39.0871,-94.3501,122230,580.1
Texas City,29.4154,-94.9682,122017,288.2
Redding,40.5698,-122.365,121498,595.7
Lynchburg,37.4003,-79.1909,120877,638.3
Boulder,40.0248,-105.2524,120818,1594.5
Iowa City,41.6559,-91.5303,120015,1141.8
Rochester,44.0154,-92.478,119732,813.7
Berkeley,37.8722,-122.276,119607,4554.9
Waldorf,38.6085,-76.9194,119442,827.9
The Villages,28.9034,-81.9887,119296,963.1
Duluth,46.7756,-92.1393,118975,462.6
East Los Angeles,34.0326,-118.1691,118964,6242.6
Saginaw,43.4199,-83.9501,118845,1093.9
Clovis,36.8278,-119.683,118488,1686.7
Leominster,42.5209,-71.7717,118190,557.0
Round Rock,30.527,-97.6642,117735,1321.3
Monroe,32.5185,-92.0774,117197,623.7
Cambridge,42.3759,-71.1185,116892,7111.9
Clearwater,27.979,-82.7623,116616,1713.6
Seaside,36.6224,-121.8199,116189,1473.9
West Jordan,40.6024,-112.0008,116045,1375.6
