ID,city,state,Ave_Price_2000,Ave_Price_2001,Ave_Price_2002,Ave_Price_2003,Ave_Price_2004,Ave_Price_2005,Ave_Price_2006,Ave_Price_2007,Ave_Price_2008,Ave_Price_2009,Ave_Price_2010,Ave_Price_2011,Ave_Price_2012,Ave_Price_2013,Ave_Price_2014,Ave_Price_2015,Ave_Price_2016,Ave_Price_2017,Ave_Price_2018,Ave_Price_2019,Ave_Price_2020,Ave_Price_2021,Ave_Price_2022,Ave_Price_2023,Total_Ave_Price
19728,Oakley,CA,197621.19683575272,228509.32042851942,258893.91709907821,295012.20821504697,361310.23567304556,451313.477472393,498168.35239558615,434041.4743089056,318550.4123668863,207930.20472527287,181253.2510554595,182933.35671648956,208360.5521641795,266958.41211591655,330708.15091039654,365171.4977533395,408449.3219496671,444683.59071242606,484757.83286454406,498616.29264199705,524139.3094129896,635858.9283765334,709296.6771184314,659211.476765163,381322.8937532508
18375,Great Neck,NY,533032.064677304,605140.0590461418,664135.489101316,742249.9914126539,830783.5745471874,940084.5362178102,1026090.6351543519,991943.8244282086,944882.1146933069,884418.2841925229,854587.2902499911,846121.1458787955,855927.8871210972,900549.5814277213,975342.4635532702,1026332.1199342544,1068448.1471577904,1106547.109054448,1126110.5863778773,1119200.6515101371,1095011.3908056861,1160457.1088324485,1225716.8588699028,1243891.0447310237,948625.164957302
52321,Greenacres,FL,73558.43856750488,79385.21464411286,88384.93135806796,101920.83378005434,121753.11738436269,150789.48114169718,186869.80053144044,177712.66451011656,138750.11711617914,101249.71821323708,86244.91924922606,74276.89655795106,71277.84157629836,83052.70922904862,101684.14480066486,117698.29956917155,138259.09191835028,155771.351441406,170597.12052336297,182536.99628612885,191516.6960424619,218458.23981801164,273990.8192159327,292605.6512000647,140764.37894478554
398269,Fenton,MI,147894.0680695691,157632.70472587904,164463.82976773518,171871.8125883176,177946.0589153578,183708.68487682578,187280.3974281204,172690.04468616616,159449.16339495676,137696.57557148038,133767.62383121808,127097.63171707389,137660.72931560836,155841.8556474735,173293.6230315816,189196.37574734364,203769.80208504983,221327.32470079837,236544.70435006553,248063.97687213312,260273.85516149373,299088.5743203498,325921.9688002034,329559.5358698324,195918.3717281097
6008,Moncks Corner,SC,107986.25871222636,117973.8905510159,128343.89698598262,139550.53135270206,149441.54165045798,161681.55445001254,181648.02299798225,192085.621077099,182674.33877141634,169791.8596906885,171748.89091733602,155180.34604071444,160044.375309761,169293.66783985565,180399.97463383948,189409.23459531402,199548.67493783252,211736.357495576,225866.41567683461,238582.26110819145,251187.22478155198,289745.5287966683,345294.01804729,350730.62795231515,194581.04643219433
39210,Keller,TX,235380.63331716275,233462.13592592767,237137.2632171982,240311.7763547929,251966.0764379506,262721.4920036775,274095.12043384433,281382.86498439603,277974.3675862944,275308.70885989093,273802.2677653514,267263.47275374254,272003.40940182627,288675.7763293102,309673.6224918932,336514.40414960514,362718.7153134099,382848.59379768994,399845.6918004043,406588.87676579744,424519.8979799142,493523.72590018,600969.2320211623,611299.2628580814,333332.8078520627
5382,Kearny,NJ,167503.8918913923,185168.25984456248,211614.60049110078,248655.1566411848,288538.11294491467,335722.3586089998,377041.1394244406,384958.36488576344,349610.132039068,301051.8452315434,289122.0225482481,260859.36868242573,251848.29846459362,268306.1364542129,286783.7061028594,297893.38752914907,319428.97718638246,337208.7429459417,356540.5711282061,374645.5709973957,401435.99193578656,437513.9628571383,468689.62073695153,480997.27215487516,320047.39548863075
19212,Marlborough,MA,199160.46602062727,234562.3891049862,266119.03972769977,289916.76777988375,311864.02534777456,335283.92091333953,337275.554371383,321418.1670670255,296109.9785561521,269938.1825164718,270513.14959060453,258498.30777868154,251784.84671472033,265762.32157681545,281256.3292195135,296117.45152891875,320405.3512999485,341432.69733183924,368835.91607575904,381112.94840325695,402415.5984403609,453989.07447346294,493194.53686357447,504808.98708181625,322990.66699102573
28017,Woodinville,WA,363677.1426691587,383246.7022864784,397487.8340950485,412481.4662183199,443249.74307834747,495245.7591247077,590721.153271295,640075.9709141994,605412.1902803449,525250.7021863078,492161.7561768908,460104.1402360467,433414.54622960446,476518.5958324803,528681.3659200076,576702.1595021737,640491.6005797819,723170.3550287603,802687.9897750694,807514.9424430686,858311.1670124397,1062872.1110432688,1325455.7066811465,1212829.5949148708,635740.1956458258
26716,Redmond,OR,128595.65749028603,138353.77061480432,145911.1846315858,153328.21155088258,174781.02349712673,204325.40578924757,254584.00123231646,285948.75575319637,255431.2395553467,191299.23186916672,157803.56929359958,144451.73379299542,148656.34646002576,180446.37933214428,210550.97266185842,235977.87858611855,267215.8722611013,293939.7036663402,318023.22127894213,332455.64497371064,357037.8406786388,450477.95872018946,523701.8706682559,499942.9967040554,252218.35296091394
